gene,log2FC_BaP_vs_Control,welch_p,n_bap,n_control,BH_p
Manea,0.36936936375,3.061520058970249e-05,4,4,0.5999238899419026
Rhox4g,0.22730831375,0.00015173449004610013,4,4,0.5999238899419026
Mrpl50,0.11547329762500003,0.0001587364370170881,4,4,0.5999238899419026
Cldn5,-0.49282184424999986,0.00016708249154078598,4,4,0.5999238899419026
Hbb-bs,-1.87740217725,0.00017352966588792484,4,4,0.5999238899419026
Vsir,0.183045832125,0.00018013636791527004,4,4,0.5999238899419026
Alas2,-0.8940594905000001,0.00018608355378949007,4,4,0.5999238899419026
Nfe2l3,0.22379318812499993,0.00018661468834522954,4,4,0.5999238899419026
Mkks,-0.4803974322500001,0.00018880862093244636,4,4,0.5999238899419026
Coa7,0.201054257375,0.0002503314328057526,4,4,0.5999238899419026
Rnase12,0.268224704,0.0002594470360610135,4,4,0.5999238899419026
Tram2,-0.2349176807500002,0.00027197834464837644,4,4,0.5999238899419026
Papss1,0.24214152349999998,0.0002938751235617142,4,4,0.5999238899419026
Zik1,0.29210771300000005,0.000328214073377754,4,4,0.5999238899419026
Gcnt4,0.20586901925,0.00036723730422606163,4,4,0.5999238899419026
H2ac22,-0.31597261675000077,0.00038187290152522416,4,4,0.5999238899419026
Dbp,0.7253237435,0.0003997422794711726,4,4,0.5999238899419026
Sh2b3,-0.2275654212499998,0.0004176291855236698,4,4,0.5999238899419026
Lmod3,0.17951319750000005,0.00043999993012698184,4,4,0.5999238899419026
Rhox6,0.324289721,0.00047487610999757176,4,4,0.5999238899419026
Gm45420,-1.009575376875,0.0005140886384428098,4,4,0.5999238899419026
Gm26316,-1.20656723425,0.0005408696705729246,4,4,0.5999238899419026
Gm23971,-1.20656723425,0.0005408696705729246,4,4,0.5999238899419026
Gm24950,-1.20656723425,0.0005408696705729246,4,4,0.5999238899419026
Gm23849,-1.20656723425,0.0005408696705729246,4,4,0.5999238899419026
Rnu2-10,-1.20656723425,0.0005408696705729246,4,4,0.5999238899419026
Plekhm2,-0.08786412900000018,0.0005447541454985353,4,4,0.5999238899419026
Nav2,0.24913753024999996,0.0005703460373969714,4,4,0.5999238899419026
Wnt2,0.35853594425,0.0005712435253583916,4,4,0.5999238899419026
Nfyb,0.29733983400000014,0.0006753059634508229,4,4,0.6591554749222263
Snx30,0.3061645623749999,0.0007141407676874406,4,4,0.6591554749222263
Pllp,0.23295797574999977,0.0007220897136501361,4,4,0.6591554749222263
Rtl9,0.21504949475000001,0.0007339362691901433,4,4,0.6591554749222263
Gm4847,0.27599532525000003,0.0007459124205248558,4,4,0.6591554749222263
Arrdc3,0.644884341,0.0007717913521472546,4,4,0.6591554749222263
Gm10069,-0.29026792074999996,0.0007976523786263258,4,4,0.6591554749222263
Gm26967,0.24548074050000002,0.0008483139414005036,4,4,0.6591554749222263
Gm8503,-0.2077971702500001,0.0008622475041809947,4,4,0.6591554749222263
Gm63376,-0.31103858849999977,0.0008657150970872423,4,4,0.6591554749222263
Gm8221,-0.31103858849999977,0.0008657150970872423,4,4,0.6591554749222263
Parp2,-0.47256843024999995,0.0010099488765236335,4,4,0.7283832494615
Eif4a3,0.21445867750000014,0.0010229510671126542,4,4,0.7283832494615
Smn1,0.14618567037500008,0.0010283845457986767,4,4,0.7283832494615
Trdv4,-0.29174430874999996,0.0010928931699782662,4,4,0.7311463200963468
Nfkbia,0.7974953167500001,0.001100160142490218,4,4,0.7311463200963468
Fam3d,-0.10805335574999998,0.0011043938909535166,4,4,0.7311463200963468
Galnt4,0.25683850900000005,0.0011283122223709056,4,4,0.7311463200963468
Zfp799,0.38230385925,0.0011525771282610891,4,4,0.731310187881661
Yipf4,0.247094578,0.0012272498403036085,4,4,0.74367501303308
Rbm3-ps,0.49552001537499946,0.0012736148492477305,4,4,0.74367501303308
Gm48583,0.49552001537499946,0.0012736148492477305,4,4,0.74367501303308
Gm10156,0.49552001537499946,0.0012736148492477305,4,4,0.74367501303308
Platr22,0.21460153725000009,0.0013073968054579225,4,4,0.74367501303308
Nfil3,-0.35034985625000026,0.001318572718143759,4,4,0.74367501303308
Zfp637,0.6114924982500001,0.0013570220225919754,4,4,0.7514447767283855
Prss28,0.149125534,0.001534016784182463,4,4,0.7515804298960805
4732490B19Rik,0.2557903207500001,0.0015524001201826037,4,4,0.7515804298960805
Rbm3,0.46301616749999974,0.0015717730343951792,4,4,0.7515804298960805
H2ac20,-0.15195485524999985,0.001573034695731016,4,4,0.7515804298960805
Gm4707,0.2215896005,0.0016150317786070498,4,4,0.7515804298960805
Dip2c,0.3155433352499999,0.0016413133656497706,4,4,0.7515804298960805
Opalin,0.6706392929999998,0.0016617823338354782,4,4,0.7515804298960805
Sacs,0.29407920025,0.0017086475175091386,4,4,0.7515804298960805
4930471M09Rik,0.23200504975,0.0017210315466532112,4,4,0.7515804298960805
Rpl23a-ps1,0.22594028150000012,0.0017252671697398215,4,4,0.7515804298960805
Mtrfr,-0.11859672962499998,0.0017301617817202003,4,4,0.7515804298960805
