uid,accession,gse,title,taxon,type,n_samples,platform,brain_related,query_hits,summary
200075206,,,"Transcriptional Response of Male MutaTMMouse Hippocampus to Benzo[a]pyrene (BaP; CAS no. 50-32-8, now also known as benzo[pqr]tetraphene) Exposure",Mus musculus,Expression profiling by array,8,,yes,mouse_bap_all;mouse_bap_expr;mouse_bap_brain,"Benzo[a]pyrene (BaP) is a genotoxic carcinogen and a neurotoxicant. The neurotoxicity of BaP is proposed to arise from either genotoxicity leading to neuronal cell death, or perturbed expression of N-methyl-D-aspartate receptor (NMDAR) subunits. To explore these hypotheses, we profiled hippocampal gene expression of adult male MutaTMMouse administered 1, 35, or 70 mg BaP/kg bw per day by oral gavage for three days, by RNA-Sequencing (RNA-Seq), DNA microarrays, and real-time quantitative reverse transcription polymerase chain reaction (RT-PCR) 24 hr post-exposure. RNA-Seq revealed altered expression of zero, 260, and 219 genes (p-value < 0.05, fold-change ≥ ± 1.5) following exposure to the low, medium, and high doses, respectively; 54 genes were confirmed using microarrays. Microarray and RT-PCR analysis showed increased expression of NMDAR subunits Grina and Grin2a. In contrast, no effects on classical BaP targets, including xenobiotic metabolism and DNA-damage response genes, were found, despite comparable BaP-DNA adduct levels in the cerebellum to those detected in the lung and liver in previous studies. Meta-analysis revealed that BaP-induced transcriptional profiles most closely match those from the hippocampus of transgenic mice that share neurotoxicity observed in BaP-exposed mice (i.e., defects in learning). Overall, our results support that BaP-induced neurotoxicity is more likely to be a consequence of NMDAR perturbation than of genotoxicity, and identify other important genes potentially mediating this adverse outcome."
200337058,,,Circular RNA expression profiling of mouse MOVAS cells upon benzo[a]pyrene (BaP) exposure,Mus musculus,Non-coding RNA profiling by array,6,,,mouse_bap_all,"Circular RNA microarray was performed to profile the circular RNA transcriptome of mouse MOVAS cells with or without benzo[a]pyrene (BaP) treatment. MOVAS cells were exposed to 10 μM BaP for 72 hours, and untreated MOVAS cells were used as control, with three biological replicates for each group (6 samples in total). Total RNA extracted from all samples was digested with RNase R to eliminate linear RNAs and enrich circular RNAs, followed by amplification and Cy3 fluorescent labeling using Arraystar Super RNA Labeling Kit. Labeled cRNAs were hybridized onto Arraystar Mouse circRNA Array V2 microarrays. Slides were scanned with Agilent Scanner G2505C, and raw intensity data were extracted via Agilent Feature Extraction software v11.0.1.1. Quantile normalization was conducted using the limma package in R. This submission contains raw and normalized microarray expression data only. The data provides a complete circRNA expression baseline for subsequent exploration of molecular mechanisms underlying BaP-induced vascular cell injury."
200296378,,,Regulatory Effects of Smoking Cessation on the Cellular Microenvironment and Differentially Expressed Genes in Precancerous Lesions of Pulmonary Nodules in Mice based on Single-Cell RNA-Sequencing and Immune Repertoire-Sequencing,Mus musculus,Expression profiling by high throughput sequencing; Other,12,,,mouse_bap_all;mouse_bap_expr,"Smoking cessation is known to reduce lung cancer progression, but its impact on precancerous lesions remains largely unexplored. In this study, a smoking-induced mouse model of pulmonary precancerous lesions was established using 6-week benzo[a]pyrene (B[a]P) exposure. Lung nodules were identified through micro-MRI imaging and histopathological evaluation by H&E staining and fluorescence microscopy. Smoking cessation interventions were applied for 4 and 8 weeks following lesion confirmation. Nodule size was quantified with Generic Medical Imaging software. Single-cell RNA sequencing (scRNA-seq) and immune repertoire sequencing (IR-seq) were performed to analyze immune cell composition, intercellular communication pathways, and receptor diversity. These approaches provide a comprehensive framework for investigating the cellular and molecular changes associated with smoking cessation in early lung lesion development."
200317185,,,Wildfire smoke particulate matter induces ovarian hyperandrogenism via aryl hydrocarbon receptor activation IV,Mus musculus,Expression profiling by high throughput sequencing,11,,,mouse_bap_all;mouse_bap_expr,"Wildfires have become more frequent and intense worldwide. Wildfire smoke particulate matter (WFPM) can be more toxic than urban background PM due to nanosized PM or WFPM0.1 and more polar organic compounds including polycyclic aromatic hydrocarbons (PAHs). While WFPM has been linked to cardiopulmonary diseases, its impact on female reproduction remains elusive. Here, we used an in vivo mouse intratracheal exposure model and a 3D ovarian follicle culture system, together with molecular, transcriptomics, and computational analyses, to examine the effects of lab-synthesized (LS) and Canadian real-world WFPM0.1 (C- WFPM0.1) on ovarian functions. Intratracheal exposure to LS-WFPM0.1 disrupted estrous cycles and elevated serum estradiol and testosterone concentrations in young adult female mice. RT-qPCR and single-follicle RNA-sequencing (RNA-seq) analysis analysis revealed altered steroidogenic genes, transcriptomic changes, and activation of aryl hydrocarbon receptor (AhR) in antral follicles of from LS-WFPM0.1-treated mice. In vitro exposure revealed thatto LS-WFPM0.1 increased testosterone secretion and induced genes related to androgen synthesis and AhR. Single-follicle and single-oocyte RNA-seq analysis identified differentially expressed genes (DEGs) related to inflammation in somatic cells and mitochondria and cell cycle in oocytes. Both real-world C-WFPM0.1 from the 2023 Canadian wildfires and benzo[a]pyrene, a high molecule weight PAH, reproduced these ovarian defects caused by LS-WFPM0.1. Mechanistically, AhR inhibition reversed hyperandrogenism induced by WFPM0.1. Together, our findings demonstrate that PAH-containing WFPM0.1 perturbs ovarian steroidogenesis and induces hyperandrogenism through AhR activation. These results are crucial for developing strategies to protect women’s reproductive health and tailor guidelines for women seeking for infertility treatment during wildfire seasons."
200317100,,,Wildfire smoke particulate matter induces ovarian hyperandrogenism via aryl hydrocarbon receptor activation III,Mus musculus,Expression profiling by high throughput sequencing,11,,,mouse_bap_all;mouse_bap_expr,"Wildfires have become more frequent and intense worldwide. Wildfire smoke particulate matter (WFPM) can be more toxic than urban background PM due to nanosized PM or WFPM0.1 and more polar organic compounds including polycyclic aromatic hydrocarbons (PAHs). While WFPM has been linked to cardiopulmonary diseases, its impact on female reproduction remains elusive. Here, we used an in vivo mouse intratracheal exposure model and a 3D ovarian follicle culture system, together with molecular, transcriptomics, and computational analyses, to examine the effects of lab-synthesized (LS) and Canadian real-world WFPM0.1 (C- WFPM0.1) on ovarian functions. Intratracheal exposure to LS-WFPM0.1 disrupted estrous cycles and elevated serum estradiol and testosterone concentrations in young adult female mice. RT-qPCR and single-follicle RNA-sequencing (RNA-seq) analysis analysis revealed altered steroidogenic genes, transcriptomic changes, and activation of aryl hydrocarbon receptor (AhR) in antral follicles of from LS-WFPM0.1-treated mice. In vitro exposure revealed thatto LS-WFPM0.1 increased testosterone secretion and induced genes related to androgen synthesis and AhR. Single-follicle and single-oocyte RNA-seq analysis identified differentially expressed genes (DEGs) related to inflammation in somatic cells and mitochondria and cell cycle in oocytes. Both real-world C-WFPM0.1 from the 2023 Canadian wildfires and benzo[a]pyrene, a high molecule weight PAH, reproduced these ovarian defects caused by LS-WFPM0.1. Mechanistically, AhR inhibition reversed hyperandrogenism induced by WFPM0.1. Together, our findings demonstrate that PAH-containing WFPM0.1 perturbs ovarian steroidogenesis and induces hyperandrogenism through AhR activation. These results are crucial for developing strategies to protect women’s reproductive health and tailor guidelines for women seeking for infertility treatment during wildfire seasons."
200317095,,,Wildfire smoke particulate matter induces ovarian hyperandrogenism via aryl hydrocarbon receptor activation II,Mus musculus,Expression profiling by high throughput sequencing,6,,,mouse_bap_all;mouse_bap_expr,"Wildfires have become more frequent and intense worldwide. Wildfire smoke particulate matter (WFPM) can be more toxic than urban background PM due to nanosized PM or WFPM0.1 and more polar organic compounds including polycyclic aromatic hydrocarbons (PAHs). While WFPM has been linked to cardiopulmonary diseases, its impact on female reproduction remains elusive. Here, we used an in vivo mouse intratracheal exposure model and a 3D ovarian follicle culture system, together with molecular, transcriptomics, and computational analyses, to examine the effects of lab-synthesized (LS) and Canadian real-world WFPM0.1 (C- WFPM0.1) on ovarian functions. Intratracheal exposure to LS-WFPM0.1 disrupted estrous cycles and elevated serum estradiol and testosterone concentrations in young adult female mice. RT-qPCR and single-follicle RNA-sequencing (RNA-seq) analysis analysis revealed altered steroidogenic genes, transcriptomic changes, and activation of aryl hydrocarbon receptor (AhR) in antral follicles of from LS-WFPM0.1-treated mice. In vitro exposure revealed thatto LS-WFPM0.1 increased testosterone secretion and induced genes related to androgen synthesis and AhR. Single-follicle and single-oocyte RNA-seq analysis identified differentially expressed genes (DEGs) related to inflammation in somatic cells and mitochondria and cell cycle in oocytes. Both real-world C-WFPM0.1 from the 2023 Canadian wildfires and benzo[a]pyrene, a high molecule weight PAH, reproduced these ovarian defects caused by LS-WFPM0.1. Mechanistically, AhR inhibition reversed hyperandrogenism induced by WFPM0.1. Together, our findings demonstrate that PAH-containing WFPM0.1 perturbs ovarian steroidogenesis and induces hyperandrogenism through AhR activation. These results are crucial for developing strategies to protect women’s reproductive health and tailor guidelines for women seeking for infertility treatment during wildfire seasons."
200317094,,,Wildfire smoke particulate matter induces ovarian hyperandrogenism via aryl hydrocarbon receptor activation I,Mus musculus,Expression profiling by high throughput sequencing,8,,,mouse_bap_all;mouse_bap_expr,"Wildfires have become more frequent and intense worldwide. Wildfire smoke particulate matter (WFPM) can be more toxic than urban background PM due to nanosized PM or WFPM0.1 and more polar organic compounds including polycyclic aromatic hydrocarbons (PAHs). While WFPM has been linked to cardiopulmonary diseases, its impact on female reproduction remains elusive. Here, we used an in vivo mouse intratracheal exposure model and a 3D ovarian follicle culture system, together with molecular, transcriptomics, and computational analyses, to examine the effects of lab-synthesized (LS) and Canadian real-world WFPM0.1 (C- WFPM0.1) on ovarian functions. Intratracheal exposure to LS-WFPM0.1 disrupted estrous cycles and elevated serum estradiol and testosterone concentrations in young adult female mice. RT-qPCR and single-follicle RNA-sequencing (RNA-seq) analysis analysis revealed altered steroidogenic genes, transcriptomic changes, and activation of aryl hydrocarbon receptor (AhR) in antral follicles of from LS-WFPM0.1-treated mice. In vitro exposure revealed thatto LS-WFPM0.1 increased testosterone secretion and induced genes related to androgen synthesis and AhR. Single-follicle and single-oocyte RNA-seq analysis identified differentially expressed genes (DEGs) related to inflammation in somatic cells and mitochondria and cell cycle in oocytes. Both real-world C-WFPM0.1 from the 2023 Canadian wildfires and benzo[a]pyrene, a high molecule weight PAH, reproduced these ovarian defects caused by LS-WFPM0.1. Mechanistically, AhR inhibition reversed hyperandrogenism induced by WFPM0.1. Together, our findings demonstrate that PAH-containing WFPM0.1 perturbs ovarian steroidogenesis and induces hyperandrogenism through AhR activation. These results are crucial for developing strategies to protect women’s reproductive health and tailor guidelines for women seeking for infertility treatment during wildfire seasons."
200301971,,,Modelling HNSCC in mice with hyperactivated NRF2 pathway,Mus musculus,Expression profiling by high throughput sequencing,22,,,mouse_bap_all;mouse_bap_expr,"Purpose: Alterations in the KEAP1/NFE2L2 (NRF2)/CUL3 pathway occur in ~20% of human head and neck squamous cell carcinomas (HNSCC) and are associated with resistance to standard-of-care therapy. However, this pathway's role in radiotherapy resistance in HNSCC has not been well-studied. Experimental Design: We generated genetically engineered mouse models and developed primary murine cancer cell lines harboring mutations commonly observed in human HNSCC, including inducible activation of PIK3CA and deletion of Trp53, with or without Keap1 loss. Primary tumors were initiated via 4-hydroxytamoxifen injection ± the tobacco carcinogen benzo[a]pyrene (BAP) into the oral buccal mucosa. Tumors were analyzed using Western blotting, immunohistochemistry, RNA sequencing (RNA-seq), and subjected to fractionated radiation therapy to investigate the role of the KEAP1/NRF2 pathway in radioresistance and modulation of the tumor immune microenvironment. Results: BAP exposure accelerated primary tumor formation within one month, with histological analysis confirming invasive squamous cell carcinoma, validated by cytokeratin and differentiation marker expression. Primary cell lines derived from Keap1-haploinsufficient tumors exhibited upregulation of NRF2 target genes and a radioresistant phenotype, which was reversed post-Nrf2 knockdown in vitro. Bulk RNA-seq revealed that Keap1 haploinsufficiency correlated with NRF2 pathway activation, increased myeloid infiltration, and enhanced angiogenic signatures. In vivo, Keap1 haploinsufficiency promoted accelerated tumor growth and decreased survival. Finally, using fractionated radiotherapy, we showed that Keap1 haploinsufficient primary tumors were significantly more radioresistant than Keap1-proficient tumors, regardless of BAP exposure. Conclusion: These data demonstrate that Keap1 haploinsufficiency in HNSCC is linked to unfavorable tumor immune microenvironment, aggressive growth, and a radioresistant phenotype."
200196827,,,Bulk RNAseq NIEHS P30 CURES Pilot Environmental hormonal and mutagenic stress in fluorescent-ubiquitinated cell cycle indicator (FUCCI) mESC 2021,Mus musculus,Expression profiling by high throughput sequencing,36,,,mouse_bap_all;mouse_bap_expr,"This experiment examines how toxicants can override normal stemness (NS) conditions, which LIF maintains, causing lineage imbalance and otherwise affecting cells in the early embryo. It also compares NS to normal differentiation (ND) (without LIF/ LIF-). Sorbitol is a positive control for stress overriding LIF+. Retinoic acid (RA) modified LIF- is a positive control for 1st lineage differentiation. But RA also activates Hox gene in anterior posterior patterning at gastrulation. The third control is NS itself, and all stimuli are compared to NS. Other toxicants are Benzo(a)pyrene (BP) - a mutagen, Cortisol - a stress hormone, and two endocrine disruptors Diethyl phthalate (DEP), and Perfluorooctanoic acid (PFOA)."
200230356,,,Prenatal exposure to benzo[a]pyrene depletes ovarian reserve and masculinizes embryonic ovarian germ cell transcriptome transgenerationally [Bisulfite-Seq],Mus musculus,Methylation profiling by high throughput sequencing,6,,,mouse_bap_all,"People are exposed to polycyclic aromatic hydrocarbons, like benzo[a]pyrene (BaP), via inhalation of particulate matter air pollution and ingestion of grilled and smoked foods. Prenatal exposure to BaP destroys germ cells in ovaries, causing earlier onset of ovarian senescence post-natally. Developing testes are affected at higher doses than ovaries. However, it is not known if adverse effects are transmitted to subsequent generations. We orally dosed pregnant female mice (F0) with 0.033, 0.2, or 2 mg/kg-day BaP or vehicle from embryonic day (E) 6.5-11.5 (F1 offspring) or E6.5-15.5 (F2 and F3). Ovarian germ cell and follicle numbers were significantly decreased in F3 females at all doses of BaP; testicular germ cells were not affected. E13.5 germ cell RNA-sequencing revealed significantly increased expression of male-specific genes in female germ cells across generations and BaP doses. Our study demonstrated that F0 BaP exposure partially disrupted sexual identity of female germ cells transgenerationally."
