gsm,cohort,group,genotype,treatment_protocol,include_full,include_clean,exclusion_reason
GSM1412394,GSE58485,tbi,Ccl3-/-,Two strains of chemokine signalling-deficient mice were compared after injury. Experimental protocol followed approved ethical regulations.,True,True,
GSM1412395,GSE58485,sham,Ccl3-/-,Two strains of chemokine signalling-deficient mice were compared after injury. Experimental protocol followed approved ethical regulations.,True,True,
GSM1412396,GSE58485,sham,Ccl3-/-,Two strains of chemokine signalling-deficient mice were compared after injury. Experimental protocol followed approved ethical regulations.,True,True,
GSM1412397,GSE58485,tbi,Ccl3-/-,Two strains of chemokine signalling-deficient mice were compared after injury. Experimental protocol followed approved ethical regulations.,True,True,
GSM1412398,GSE58485,tbi,Ccl3-/-,Two strains of chemokine signalling-deficient mice were compared after injury. Experimental protocol followed approved ethical regulations.,True,True,
GSM1412399,GSE58485,tbi,Ccl3-/-,Two strains of chemokine signalling-deficient mice were compared after injury. Experimental protocol followed approved ethical regulations.,True,True,
GSM1412400,GSE58485,tbi,Ccl3-/-,Two strains of chemokine signalling-deficient mice were compared after injury. Experimental protocol followed approved ethical regulations.,True,True,
GSM1412401,GSE58485,tbi,Ccr2-/-,Two strains of chemokine signalling-deficient mice were compared after injury. Experimental protocol followed approved ethical regulations.,True,True,
GSM1412402,GSE58485,tbi,Ccr2-/-,Two strains of chemokine signalling-deficient mice were compared after injury. Experimental protocol followed approved ethical regulations.,True,True,
GSM1412403,GSE58485,sham,Ccr2-/-,Two strains of chemokine signalling-deficient mice were compared after injury. Experimental protocol followed approved ethical regulations.,True,True,
GSM1412404,GSE58485,sham,Ccr2-/-,Two strains of chemokine signalling-deficient mice were compared after injury. Experimental protocol followed approved ethical regulations.,True,True,
GSM1412405,GSE58485,tbi,Ccr2-/-,Two strains of chemokine signalling-deficient mice were compared after injury. Experimental protocol followed approved ethical regulations.,True,True,
GSM1412406,GSE58485,tbi,Ccr2-/-,Two strains of chemokine signalling-deficient mice were compared after injury. Experimental protocol followed approved ethical regulations.,True,True,
GSM1412407,GSE58485,tbi,Ccr2-/-,Two strains of chemokine signalling-deficient mice were compared after injury. Experimental protocol followed approved ethical regulations.,True,True,
GSM1412408,GSE58485,tbi,wildtype,"Wildtype B6 mice were subjected to injury for post-treatment with cyclophosphamide or saline and sacrificed after three days. Brains from uninjured mice and injured, untreated mice served as controls. Experimental protocol followed approved ethical regulations.",True,True,
GSM1412409,GSE58485,tbi,wildtype,"Wildtype B6 mice were subjected to injury for post-treatment with cyclophosphamide or saline and sacrificed after three days. Brains from uninjured mice and injured, untreated mice served as controls. Experimental protocol followed approved ethical regulations.",True,True,
GSM1412410,GSE58485,tbi,wildtype,"Wildtype B6 mice were subjected to injury for post-treatment with cyclophosphamide or saline and sacrificed after three days. Brains from uninjured mice and injured, untreated mice served as controls. Experimental protocol followed approved ethical regulations.",True,True,
GSM1412411,GSE58485,sham,wildtype,"Wildtype B6 mice were subjected to injury for post-treatment with cyclophosphamide or saline and sacrificed after three days. Brains from uninjured mice and injured, untreated mice served as controls. Experimental protocol followed approved ethical regulations.",True,True,
GSM1412412,GSE58485,sham,wildtype,"Wildtype B6 mice were subjected to injury for post-treatment with cyclophosphamide or saline and sacrificed after three days. Brains from uninjured mice and injured, untreated mice served as controls. Experimental protocol followed approved ethical regulations.",True,True,
GSM1412413,GSE58485,sham,wildtype,"Wildtype B6 mice were subjected to injury for post-treatment with cyclophosphamide or saline and sacrificed after three days. Brains from uninjured mice and injured, untreated mice served as controls. Experimental protocol followed approved ethical regulations.",True,True,
GSM1412414,GSE58485,tbi,wildtype,"Wildtype B6 mice were subjected to injury for post-treatment with cyclophosphamide or saline and sacrificed after three days. Brains from uninjured mice and injured, untreated mice served as controls. Experimental protocol followed approved ethical regulations.",True,False,cyclophosphamide i.p. treatment (drug-exposed)
GSM1412415,GSE58485,tbi,wildtype,"Wildtype B6 mice were subjected to injury for post-treatment with cyclophosphamide or saline and sacrificed after three days. Brains from uninjured mice and injured, untreated mice served as controls. Experimental protocol followed approved ethical regulations.",True,True,
GSM1412416,GSE58485,tbi,wildtype,"Wildtype B6 mice were subjected to injury for post-treatment with cyclophosphamide or saline and sacrificed after three days. Brains from uninjured mice and injured, untreated mice served as controls. Experimental protocol followed approved ethical regulations.",True,False,cyclophosphamide i.p. treatment (drug-exposed)
