item,value
genes_full_universe,27250
genes_after_single_cohort_coverage_filter,27250
samples,24
evaluable_1to1_targets,188
one_to_one_ortholog_targets,198
DEGs,1681
wgcna_softPower,1
wgcna_SFT_R2,0.896
significant_modules,"blue,brown"
best_module,blue
best_module_r,0.876
best_module_P,2.05e-08
key_genes,400
candidates,6
candidate_genes,"Ccr2,Crabp2,Cysltr1,Htr2b,Lst1,Slc6a5"
candidate_tiers,"C,C,C,C,C,C"
permutation_uniform_enrichment,68.1
permutation_meanvar_enrichment,12.0
permutation_empirical_P,<0.0001
direction_consistency,11/12
