power,SFT.R.sq,slope,mean.k,median.k
1,0.7815,1.48,2020,2110
2,0.1642,0.115,1130,1110
3,0.8022,-0.303,730,655
4,0.9045,-0.5,511,410
5,0.9101,-0.628,377,268
6,0.9342,-0.711,288,182
7,0.9412,-0.777,227,128
8,0.9432,-0.834,182,91.4
9,0.9416,-0.872,149,67.6
10,0.9385,-0.905,123,50.7
11,0.9392,-0.941,104,37.9
12,0.9413,-0.968,87.8,29.1
13,0.9385,-0.994,75.1,22.6
14,0.9414,-1.01,64.7,17.4
15,0.9411,-1.03,56.2,13.8
16,0.9397,-1.05,49.1,10.8
17,0.9362,-1.07,43.1,8.57
18,0.929,-1.08,38.1,6.87
19,0.9345,-1.09,33.8,5.48
20,0.9236,-1.11,30.1,4.4
