receptor,box_index,decoy,smiles,best_affinity_kcal_mol,seed_scores
AHR,0,biphenyl,c1ccc(-c2ccccc2)cc1,-8.795,-8.78;-8.79;-8.74
AHR,0,"1,4-di-tert-butylbenzene",CC(C)(C)c1ccc(C(C)(C)C)cc1,-7.175,-7.17;-7.17;-7.17
AHR,0,"1,3,5-triphenylbenzene",c1ccc(cc1)-c1cc(cc(c1)-c1ccccc1)-c1ccccc1,-4.55,-4.55;-4.49;-1.88
CYP1A2,0,biphenyl,c1ccc(-c2ccccc2)cc1,-9.587,-9.59;-9.59;-9.58
CYP1A2,0,"1,4-di-tert-butylbenzene",CC(C)(C)c1ccc(C(C)(C)C)cc1,-8.084,-8.07;-8.08;-8.06
CYP1A2,0,"1,3,5-triphenylbenzene",c1ccc(cc1)-c1cc(cc(c1)-c1ccccc1)-c1ccccc1,-7.323,-7.32;-7.32;-7.32
CYP1B1,0,biphenyl,c1ccc(-c2ccccc2)cc1,-9.666,-9.60;-9.67;-9.64
CYP1B1,0,"1,4-di-tert-butylbenzene",CC(C)(C)c1ccc(C(C)(C)C)cc1,-7.723,-7.71;-7.72;-7.69
CYP1B1,0,"1,3,5-triphenylbenzene",c1ccc(cc1)-c1cc(cc(c1)-c1ccccc1)-c1ccccc1,-4.092,-4.09;-4.08;-4.09
CRABP2,0,biphenyl,c1ccc(-c2ccccc2)cc1,-5.981,-5.98;-5.98;-5.97
CRABP2,0,"1,4-di-tert-butylbenzene",CC(C)(C)c1ccc(C(C)(C)C)cc1,-6.659,-6.66;-6.66;-6.66
CRABP2,0,"1,3,5-triphenylbenzene",c1ccc(cc1)-c1cc(cc(c1)-c1ccccc1)-c1ccccc1,-7.808,-7.80;-7.81;-7.79
ESR1,0,biphenyl,c1ccc(-c2ccccc2)cc1,-7.298,-7.28;-7.29;-7.30
ESR1,0,"1,4-di-tert-butylbenzene",CC(C)(C)c1ccc(C(C)(C)C)cc1,-6.116,-6.12;-6.11;-6.12
ESR1,0,"1,3,5-triphenylbenzene",c1ccc(cc1)-c1cc(cc(c1)-c1ccccc1)-c1ccccc1,-9.201,-9.20;-9.20;-9.19
HSD11B1,0,biphenyl,c1ccc(-c2ccccc2)cc1,-7.621,-7.62;-7.60;-7.60
HSD11B1,0,"1,4-di-tert-butylbenzene",CC(C)(C)c1ccc(C(C)(C)C)cc1,-7.544,-7.53;-7.54;-7.54
HSD11B1,0,"1,3,5-triphenylbenzene",c1ccc(cc1)-c1cc(cc(c1)-c1ccccc1)-c1ccccc1,-9.223,-9.21;-9.22;-9.22
MAOA,0,biphenyl,c1ccc(-c2ccccc2)cc1,-7.34,-7.33;-7.33;-7.34
MAOA,0,"1,4-di-tert-butylbenzene",CC(C)(C)c1ccc(C(C)(C)C)cc1,-7.525,-7.53;-7.52;-7.52
MAOA,0,"1,3,5-triphenylbenzene",c1ccc(cc1)-c1cc(cc(c1)-c1ccccc1)-c1ccccc1,-8.753,-8.75;-8.74;-8.75
NFE2L2,9,biphenyl,c1ccc(-c2ccccc2)cc1,-5.093,-5.09;-5.09;-5.08
NFE2L2,9,"1,4-di-tert-butylbenzene",CC(C)(C)c1ccc(C(C)(C)C)cc1,-4.945,-4.95;-4.93;-4.94
NFE2L2,9,"1,3,5-triphenylbenzene",c1ccc(cc1)-c1cc(cc(c1)-c1ccccc1)-c1ccccc1,-7.183,-7.14;-7.18;-6.04
PGF,1,biphenyl,c1ccc(-c2ccccc2)cc1,-5.649,-5.65;-5.65;-5.65
PGF,1,"1,4-di-tert-butylbenzene",CC(C)(C)c1ccc(C(C)(C)C)cc1,-4.832,-4.83;-4.83;-4.83
PGF,1,"1,3,5-triphenylbenzene",c1ccc(cc1)-c1cc(cc(c1)-c1ccccc1)-c1ccccc1,-6.469,-6.47;-6.47;-6.47
P2RY6,5,biphenyl,c1ccc(-c2ccccc2)cc1,-6.245,-6.24;-6.24;-6.25
P2RY6,5,"1,4-di-tert-butylbenzene",CC(C)(C)c1ccc(C(C)(C)C)cc1,-6.288,-6.29;-6.29;-6.29
P2RY6,5,"1,3,5-triphenylbenzene",c1ccc(cc1)-c1cc(cc(c1)-c1ccccc1)-c1ccccc1,-9.42,-9.40;-9.42;-9.41
