receptor,BaP_best_kcal_mol,decoy_min_kcal_mol,BaP_rank_among_4,BaP_better_than_all_decoys,interpretation
AHR,-14.16,-8.795,1,True,BaP best score better than all 3 decoys
CYP1A2,-15.66,-9.587,1,True,BaP best score better than all 3 decoys
CYP1B1,-15.96,-9.666,1,True,BaP best score better than all 3 decoys
CRABP2,-9.685,-7.808,1,True,BaP best score better than all 3 decoys
ESR1,-10.91,-9.201,1,True,BaP best score better than all 3 decoys
HSD11B1,-10.25,-9.223,1,True,BaP best score better than all 3 decoys
MAOA,-11.54,-8.753,1,True,BaP best score better than all 3 decoys
NFE2L2,-7.567,-7.183,1,True,BaP best score better than all 3 decoys
PGF,-7.123,-6.469,1,True,BaP best score better than all 3 decoys
P2RY6,-10.02,-9.42,1,True,BaP best score better than all 3 decoys
