gene_symbol,tier,sources
A3F,C,ChEMBL
ABCB1,C,ChEMBL
ABCG2,C,SwissTargetPrediction
ACAT1,C,SwissTargetPrediction
ACHE,C,ChEMBL;SwissTargetPrediction
ADAM17,C,PharmMapper
ADORA1,C,ChEMBL;SwissTargetPrediction
ADORA2,C,ChEMBL
ADORA2A,C,ChEMBL;SwissTargetPrediction
ADORA3,C,ChEMBL;SwissTargetPrediction
ADRA1A,C,ChEMBL
ADRA1D,C,ChEMBL
ADRA2A,C,ChEMBL;SwissTargetPrediction
ADRA2B,C,ChEMBL
ADRA2C,C,ChEMBL;SwissTargetPrediction
ADRA2L1,C,ChEMBL
ADRA2L2,C,ChEMBL
ADRA2R,C,ChEMBL
ADRA2RL1,C,ChEMBL
ADRA2RL2,C,ChEMBL
ADRAR,C,ChEMBL
ADRB1,C,ChEMBL
ADRB1R,C,ChEMBL
ADRB2,C,ChEMBL
ADRB2R,C,ChEMBL
ADRB3,C,ChEMBL
ADRB3R,C,ChEMBL
AGTR2,C,ChEMBL
AHR,A,ChEMBL;SwissTargetPrediction
AKR1C2,C,PharmMapper
ALB,B,PharmMapper
ALK,C,SwissTargetPrediction
ALOX15B,C,SwissTargetPrediction
ALOX5,C,SEA
APEX1,C,SwissTargetPrediction
APLNR,C,SwissTargetPrediction
APOA2,B,PharmMapper
APOBEC3F,C,ChEMBL
APP,C,SwissTargetPrediction
AR,C,PharmMapper;SwissTargetPrediction
ARA24,C,ChEMBL
ASM,C,ChEMBL
AVPR1,C,ChEMBL
AVPR1A,C,ChEMBL
B1AR,C,ChEMBL
B2AR,C,ChEMBL
B2R,C,ChEMBL
B3AR,C,ChEMBL
BACE1,C,PharmMapper;SwissTargetPrediction
BCHE,B,PharmMapper;SwissTargetPrediction
BDKRB2,C,ChEMBL
BKR2,C,ChEMBL
BMP2,B,PharmMapper
CA1,C,SwissTargetPrediction
CA12,C,SwissTargetPrediction
CA2,C,ChEMBL;PharmMapper;SwissTargetPrediction
CA3,C,SwissTargetPrediction
CA4,C,SwissTargetPrediction
CA5A,C,SwissTargetPrediction
CA5B,C,SwissTargetPrediction
CA9,C,SwissTargetPrediction
CAC,C,ChEMBL
CALCR,C,ChEMBL
CALNA,C,ChEMBL
CANN6,C,ChEMBL
CASP1,C,ChEMBL
CB1,C,ChEMBL
CBX,C,ChEMBL
CBX1,C,ChEMBL
CCKAR,C,ChEMBL
CCKRA,C,ChEMBL
CCNA2,C,PharmMapper
CCR2,C,ChEMBL;SwissTargetPrediction
CCR4,C,ChEMBL
CCR5,C,ChEMBL
CD45,C,ChEMBL
CDK8,C,SwissTargetPrediction
CHEK1,C,PharmMapper
CHEMR13,C,ChEMBL
CHRM1,C,ChEMBL
CHRM2,C,ChEMBL
CHRM3,C,ChEMBL
CHRM4,C,ChEMBL
CHRM5,C,ChEMBL
CLG,C,ChEMBL
CLG4B,C,ChEMBL
CMKAR1,C,ChEMBL
CMKBR2,C,ChEMBL
CMKBR4,C,ChEMBL
CMKBR5,C,ChEMBL
CNA,C,ChEMBL
CNR,C,ChEMBL
CNR1,C,ChEMBL;SwissTargetPrediction
CNR2,C,SwissTargetPrediction
COX1,C,ChEMBL
COX2,C,ChEMBL
CRABP2,B,PharmMapper
CRHR1,C,SwissTargetPrediction
CSBP,C,ChEMBL
CSBP1,C,ChEMBL
CSBP2,C,ChEMBL
CSPB1,C,ChEMBL
CTNNA1,B,PharmMapper
CTSB,C,SwissTargetPrediction
CTSG,C,ChEMBL
CTSL,C,SwissTargetPrediction
CXCR1,C,ChEMBL
CXCR2,C,ChEMBL
CYP19A1,C,SwissTargetPrediction
CYP1A2,A,ChEMBL;SwissTargetPrediction
CYP1B1,A,SwissTargetPrediction
CYP2A3,C,ChEMBL
CYP2A6,C,ChEMBL;SwissTargetPrediction
CYP2C10,C,ChEMBL
CYP2C19,C,ChEMBL
CYP2C9,C,ChEMBL;PharmMapper
CYP2D6,C,ChEMBL
CYP2DL1,C,ChEMBL
CYP2E,C,ChEMBL
CYP2E1,C,ChEMBL
CYP3A3,C,ChEMBL
CYP3A4,C,ChEMBL
CYP5,C,ChEMBL
CYP5A1,C,ChEMBL
CYPIIA6,C,ChEMBL
CYPIIC17,C,ChEMBL
CYPIIC19,C,ChEMBL
CYPIIC9,C,ChEMBL
CYPIID6,C,ChEMBL
CYPIIE1,C,ChEMBL
CYPIIIA3,C,ChEMBL
CYPIIIA4,C,ChEMBL
CYSLT1,C,ChEMBL
CYSLTR1,C,ChEMBL
DAT,C,ChEMBL
DAT1,C,ChEMBL
DPP4,B,PharmMapper
DRD1,C,ChEMBL
DRD2,C,ChEMBL
DRD3,C,ChEMBL
DRD4,C,ChEMBL;SwissTargetPrediction
DUSP6,B,PharmMapper
EDNRA,C,ChEMBL
EGFR,C,ChEMBL;PharmMapper;SwissTargetPrediction
EGLN2,C,SwissTargetPrediction
ELA2,C,ChEMBL
ELANE,C,ChEMBL
EP300,C,SwissTargetPrediction
EPHB4,C,PharmMapper
EPHX1,C,SwissTargetPrediction
ERBB,C,ChEMBL
ERBB1,C,ChEMBL
ERBB2,C,ChEMBL
ERG,C,ChEMBL
ERG1,C,ChEMBL
ERK1,C,ChEMBL
ERK2,C,ChEMBL
ERT1,C,ChEMBL
ERT2,C,ChEMBL
ESR,C,ChEMBL
ESR1,B,ChEMBL;PharmMapper;SwissTargetPrediction
ESR2,C,ChEMBL;PharmMapper;SwissTargetPrediction
ESTRB,C,ChEMBL
ETA,C,ChEMBL
ETRA,C,ChEMBL
FBP1,C,SwissTargetPrediction
FGFR1,C,PharmMapper
FLT,C,ChEMBL
FLT1,C,ChEMBL
FRT,C,ChEMBL
