,GSM1412394,GSM1412395,GSM1412396,GSM1412397,GSM1412398,GSM1412399,GSM1412400,GSM1412401,GSM1412402,GSM1412403,GSM1412404,GSM1412405,GSM1412406,GSM1412407,GSM1412408,GSM1412409,GSM1412410,GSM1412411,GSM1412412,GSM1412413,GSM1412415,GSM1412417,GSM1412420,GSM1412422,GSM1015323,GSM1015324,GSM1015325,GSM1015326,GSM1015331,GSM1015332,GSM1015333,GSM1015334,GSM1015335
0610007P14Rik,6.95730676211499,7.27222933302087,7.2477685257132,7.42513458043727,7.08899749700029,7.43588352555184,7.48901435096791,7.66169513861567,7.65351576047041,7.33861758625367,7.48813020222028,7.05947536846231,7.29101322423442,7.15612055957016,8.51510229576145,8.31286283486601,8.65630512552805,8.35009230678767,8.57641640791443,8.49855592412896,8.54792540934334,8.47019890757188,8.50002169108546,8.5923339072551,7.92655767296691,7.97110999172456,8.05852784129445,7.58854607074051,7.68877652757399,7.55744370788756,8.04078968263988,7.77609737751276,7.80331118813571
0610009B22Rik,8.02881188542259,8.14754992495616,7.99882837802419,8.02718652602489,8.20026011904432,8.18198233634664,8.19232492949202,8.11160287840723,8.29391277922847,7.90620675025443,8.01187171843408,7.93822169110431,7.9524236852483,8.22572265761284,9.3044783687652,8.27200793529496,8.77346496242279,8.83207905850907,8.74725940456987,8.54902822330412,8.53500436815746,8.40127095097689,8.69206352483097,8.45106223344004,8.03326453656331,8.28934680461329,8.32638994802268,8.67360496987787,8.90041703501231,8.25213118806155,8.13797165532047,8.07877308761218,8.1976257152818
0610009O20Rik,6.75828851770036,6.9777171656736,6.75465899449274,6.42144037896577,6.81622372602263,6.78486339205805,6.88821573390419,6.85857206524557,6.6537312724785,7.00481142483735,6.85086659635685,6.75597603111337,6.83542665827591,6.85712076337467,6.13434178257482,6.26623868887852,6.4598161495041,6.6467462381203,6.4270428523198,6.44066146599315,6.2476204691126,6.16111452860999,6.52397347772355,6.62464132651402,6.62159046757624,6.70684620209236,6.62414482201667,6.6814681379871,6.54776634247025,6.46644671066494,6.52635869304331,6.7064882310368,7.07068171298893
0610012G03Rik,9.49473969751351,9.50408523176833,9.41491692404194,9.51212259207873,9.58715653995971,9.53791151644917,9.51766293664362,9.52483745207826,9.65801455728555,9.53125690375277,9.47637104329549,9.43359946503462,9.42179435056666,9.54417053201514,10.7065220620881,10.1591520571457,10.3842808469617,10.4945294216163,10.4820135122209,10.3317957428185,10.2288646762351,10.1759997755463,10.5014132573039,10.543654351767,10.1348061930787,10.0088086006916,10.1874447590987,9.86680156043929,9.80142303608828,9.68947117697942,10.0737724332808,9.74517520081356,9.37231710975521
0610031J06Rik,8.11015946520702,7.52231476278279,7.48139966134525,8.09255560910989,7.97369962897979,7.96798227467808,7.97772922869797,7.95943855423842,8.00292245373413,7.69059004075882,7.6182768817143,8.17486499249707,8.00650940463899,7.74327611334091,7.43572868815332,8.07329162716004,8.00232730351179,7.82480962276263,7.69281523896393,7.48438573793928,7.93769634979288,8.18823758801095,8.08850157247062,8.20263486262555,7.7374947203441,7.95905071851929,7.95107693788593,7.67038094822852,8.02757321413779,7.78503380102769,7.67934009459945,7.52570089429807,7.95571265999785
0610037L13Rik,8.11290378688339,8.11822603108036,8.18633573860074,8.21753348260981,8.15447545724389,8.14217415617018,8.28066675861057,8.05817343399309,8.04977920932206,8.16393024467302,8.23057381424144,7.96388643229653,8.26313197446775,8.06327255029263,8.58414113022902,8.63661006259573,8.48994301480795,8.65084978376475,8.65866598931749,8.56647955692085,8.55217734047901,8.51853542564054,8.6792851645142,8.55020354271215,8.01170969701034,8.47671637792214,8.22728960146287,8.3905091770284,8.65380177896096,8.38299031942811,8.3815842059606,8.34229960957735,8.25014742465389
1110001J03Rik,7.67313357888339,7.96757705357724,7.5158421373487,7.52700307549975,7.67448341466621,7.4185322255972,7.58162447125085,7.30400697165005,7.94223001006102,7.91560208812128,7.27059064528074,7.22841650322979,7.7218555544867,7.50797451545873,9.13796999472347,8.05434385226169,8.68193907061838,8.19075399499363,8.64827807391923,8.42265963067229,8.57421849614494,8.43284763188752,8.85288298692233,8.83274714428116,8.24159692228799,8.088900967057,8.15927245873569,8.16506987933794,7.85939675933124,7.29318531240037,8.33727989176033,7.87757299777975,7.93108650239138
1110008F13Rik,8.85174460031634,8.67615127444857,8.68790455367697,8.9544381894275,9.05060245939982,8.80443372420138,8.85457670172301,8.84066140923011,8.95017157160871,8.81824643407675,8.7626501085498,8.88352042796983,8.8541396995316,8.92495294758737,9.97467683536354,9.12398394064292,9.78837595925951,9.89863722476769,9.59413949737403,9.53862959271145,9.38995542143986,9.25630067722753,9.5376866763713,9.71945446296032,9.20379456705179,9.29156110599268,9.18736227363128,9.39504969429602,9.19834754805961,9.10862375167403,9.24697790815777,8.65435959814597,9.00361763189636
1110008P14Rik,9.51909067918515,10.4798657800641,10.441536641646,9.58283823447582,9.64577090828277,9.68512603200724,9.63586970445205,9.67561818070846,10.0161050050299,10.4257807440862,10.5235716944641,9.92862252238061,9.9764746809602,10.0300044713348,10.766577937187,10.1173413957317,10.4535678414849,11.1863852292761,11.2075867831629,11.1157644538552,10.4741489983167,10.2151319550414,10.6603693682966,10.6739039528794,10.5331418568114,10.7389731502112,10.4798113217727,10.4674761418364,9.99356987691747,10.1023228722236,10.4734710874498,10.4154200516699,10.3629025321659
1110012L19Rik,6.44025812317769,6.6192420694647,6.49715532654194,6.83078346845684,6.57130154735419,6.51479832001119,6.7469609190101,6.64618826328455,6.75800284272156,6.43965070179511,6.54709560721984,6.6627521793098,6.5937576133275,6.61795540096333,7.25642969049506,6.70458114979096,7.16002537520856,7.16192882242717,7.08980927781221,6.83213042485445,6.77069124157684,6.82274880894867,6.94783967431097,7.05241477563101,6.4552372378319,6.60167319176293,6.46392006079584,7.00314792727995,7.23140920594171,6.74261492601136,6.75568331099629,6.67906057127596,7.00968658108773
1110017D15Rik,5.06674010172838,3.95187658002455,4.701210915376,4.72601438322548,5.62127750828827,5.5397554697009,5.09792572715179,5.51202303066876,5.21133806667348,5.12831886707688,4.92518423003666,5.11384092616966,5.44813814519376,4.82619187859538,6.92274069604173,5.96697676525211,6.54407974528514,6.03329473179299,6.08510909067856,5.84982580700862,6.07187089484537,5.89287736816503,5.62960417964376,6.38085678374535,5.4501675639871,5.97387252464741,5.87604269697403,4.66608329755787,6.7256296503232,5.42036090391493,5.01688592940395,4.40321522960644,5.4765589033635
