method,celltype,n_sham,n_tbi,mean_sham,sd_sham,median_sham,mean_tbi,sd_tbi,median_tbi,p_wilcox,fdr,note
MuSiC_8ct,Neuron,182,194,0.0560778835064338,0.0170166480251122,0.0589436691408872,0.0546282809064593,0.0179266234203263,0.0579995757430063,0.626537730329579,0.730960685384509,""
MuSiC_8ct,Oligodendrocyte,182,194,0.150886425709569,0.0368341932682008,0.140955848445773,0.15673497852398,0.0422145020604241,0.146064593817252,0.184544785269373,0.641571128520362,""
MuSiC_8ct,OPC,182,194,0.00268722372311334,0.00480495883696584,3.78421068334847e-05,0.0038218582694039,0.00624264440560442,6.86927392261104e-05,0.274959055080155,0.641571128520362,""
MuSiC_8ct,Microglia,182,194,0.243638297940911,0.0268640951064811,0.246099622973615,0.241946244951598,0.0302645931169543,0.244765385001258,0.494513937384052,0.692319512337673,""
MuSiC_8ct,Astrocyte,182,194,0.0182603402741883,0.0119743553242121,0.0186744833629211,0.0176825978911592,0.0138423460668111,0.0152559088086805,0.429801498365033,0.692319512337673,""
MuSiC_8ct,Endothelial,182,194,0.258622966221455,0.0173106327655205,0.260709071280451,0.254313505582808,0.0204569720627906,0.259643955172879,0.114232616420042,0.641571128520362,""
MuSiC_8ct,T_NK,182,194,0.269826862624331,0.0258186275723635,0.268559136672419,0.270872533874592,0.0297641937451668,0.269678446250748,0.956461286158035,0.956461286158035,""
BisqueRNA_8ct,Astrocyte,182,194,0.133455298743516,0.0448849821437817,0.138049336569876,0.131463964948258,0.0559133645716004,0.131461553204382,0.650959020137183,0.743953165871066,""
BisqueRNA_8ct,Endothelial,182,194,0.168348647223364,0.0781728894278842,0.179294004136004,0.171273301120404,0.0682963258570982,0.175816461146493,0.889370418164373,0.889370418164373,""
BisqueRNA_8ct,Macrophage,182,194,0.0581323077916244,0.0542480280122539,0.0609636189344544,0.0534893950197556,0.053473485429913,0.0405683573983789,0.543635205482967,0.743953165871066,""
BisqueRNA_8ct,Microglia,182,194,0.102628166382108,0.0887171951385667,0.0932198713769495,0.114590654409092,0.0922917575294816,0.12520473445353,0.229041819988516,0.743953165871066,""
BisqueRNA_8ct,Neuron,182,194,0.189867952811125,0.0905464302713803,0.204838426492496,0.17847410504435,0.0959736121957122,0.199061721971314,0.403508510566294,0.743953165871066,""
BisqueRNA_8ct,Oligodendrocyte,182,194,0.102722095776091,0.0968286116698873,0.073103998243713,0.111820099577081,0.110209642584509,0.0728552353153609,0.614458491328158,0.743953165871066,""
BisqueRNA_8ct,OPC,182,194,0.147713381660037,0.0493241841162878,0.147393769935379,0.141783978963882,0.043914947517723,0.146725326893885,0.43427210525768,0.743953165871066,""
BisqueRNA_8ct,T_NK,182,194,0.0971321496121358,0.0361736115416064,0.105464545875832,0.0971045009171771,0.0328477524171489,0.104860870637739,0.575005160129795,0.743953165871066,""
MuSiC_6ct,Neuron,182,194,0.0676927399696236,0.0213715327032348,0.0720068998289495,0.0651163249307206,0.0223668652519796,0.0694194845544261,0.248075704422172,0.991288104423816,""
MuSiC_6ct,Oligodendrocyte,182,194,0.197521401374682,0.0498907766208694,0.191252049756716,0.201320182148548,0.0545459568286831,0.198276823982893,0.69110558041507,0.991288104423816,""
MuSiC_6ct,OPC,182,194,0.00688456476215052,0.00829751188160594,0.00071937061240742,0.00694950051657898,0.00822979144431552,0.000782256106832849,0.620375302526152,0.991288104423816,""
MuSiC_6ct,Microglia,182,194,0.384679329114943,0.0353592628170661,0.381333827039507,0.384441885433968,0.0351831726150568,0.38549164555264,0.991288104423816,0.991288104423816,""
MuSiC_6ct,Astrocyte,182,194,0.0123196826299199,0.0153892313943975,0.00371118372198566,0.0129521971268135,0.0161340776236383,0.00321447960746354,0.968179160166247,0.991288104423816,""
MuSiC_6ct,Endothelial,182,194,0.33090228214868,0.0272995624101479,0.32948269149512,0.32921990984337,0.0256362537824684,0.327571152471658,0.35285748634192,0.991288104423816,""
BisqueRNA_6ct,Astrocyte,182,194,0.146559566414417,0.0458372053826237,0.15127802736686,0.14415445567713,0.0576573026012549,0.14687984333576,0.63294487240954,0.759533846891448,""
BisqueRNA_6ct,Endothelial,182,194,0.190777498367136,0.0809298084189595,0.204747583609213,0.193196977028831,0.0707183884624856,0.201346651681051,0.915310310386803,0.915310310386803,""
BisqueRNA_6ct,Microglia,182,194,0.163072149569661,0.0414240328408486,0.159473178217254,0.167774476580201,0.0390649106051109,0.164390306128843,0.204450724927594,0.759533846891448,""
BisqueRNA_6ct,Neuron,182,194,0.200414756056717,0.0887834662671334,0.216096598578411,0.188852955768332,0.0944486769967544,0.209481233241621,0.390592731351922,0.759533846891448,""
BisqueRNA_6ct,Oligodendrocyte,182,194,0.13029782215465,0.110957376677639,0.0988762430889055,0.141460005892341,0.125967037631893,0.09689738679246,0.571147873447085,0.759533846891448,""
BisqueRNA_6ct,OPC,182,194,0.16887820743742,0.0490617099316941,0.170421013827376,0.164561129053165,0.0437513876769619,0.168898739748461,0.521898676236795,0.759533846891448,""
CIBERSORTx_Job7,Neuron,182,194,0.222906537292842,0.0963378985776104,0.242296792025686,0.212716672788625,0.104858524517639,0.23908575539423,0.547094451855142,0.960248461732784,P值来自perm=0任务，不可用
CIBERSORTx_Job7,Oligodendrocyte,182,194,0.218062845934324,0.0839874461961859,0.200569909275163,0.229062350319098,0.0927279501934224,0.200961625233419,0.316261239569709,0.960248461732784,P值来自perm=0任务，不可用
CIBERSORTx_Job7,OPC,182,194,0.0107685090480646,0.0103904390500221,0.00868068714626672,0.0118935537045744,0.0130127625361485,0.008566323179475,0.796049033429465,0.960248461732784,P值来自perm=0任务，不可用
CIBERSORTx_Job7,Microglia,182,194,0.14886842942584,0.0300599998124695,0.143372953911689,0.150409721577597,0.0323185530745497,0.145126647255394,0.687608572279487,0.960248461732784,P值来自perm=0任务，不可用
CIBERSORTx_Job7,Astrocyte,182,194,0.213230770767742,0.0321684628678001,0.209008347912929,0.210999075369908,0.0361226628403375,0.204112076897058,0.296509719999711,0.960248461732784,P值来自perm=0任务，不可用
CIBERSORTx_Job7,Endothelial,182,194,0.0936574514595837,0.0255963214305261,0.0907263312362511,0.0936324625671202,0.0286021062929127,0.0908442216675364,0.710101825255677,0.960248461732784,P值来自perm=0任务，不可用
CIBERSORTx_Job7,T_NK,182,194,0.0883703940254895,0.0162246378561066,0.0887016131060844,0.0876816086769641,0.0176325067860607,0.0879699534016684,0.972354185560286,0.972354185560286,P值来自perm=0任务，不可用
CIBERSORTx_Job7,Macrophage,182,194,0.00413506204611362,0.0142858380065813,0,0.00360455499611359,0.0112359901261977,0,0.840217404016186,0.960248461732784,P值来自perm=0任务，不可用
