"module","r","P","significant"
"MEblack",0.8272,2.94411648704058e-09,TRUE
"MEblue",-0.2006,0.26295169384329,FALSE
"MEbrown",-0.0148,0.934940209099812,FALSE
"MEcyan",-0.1531,0.394868130443618,FALSE
"MEdarkgreen",-0.5592,0.000716765240503551,TRUE
"MEdarkgrey",0.2106,0.23934080656775,FALSE
"MEdarkorange",0.0842,0.641213495047717,FALSE
"MEdarkred",-0.447,0.00910902362754458,TRUE
"MEdarkturquoise",-0.1388,0.441203711750945,FALSE
"MEgreen",-0.2136,0.232587208819828,FALSE
"MEgreenyellow",-0.0625,0.729639085316416,FALSE
"MEgrey",0.0071,0.968629110831944,FALSE
"MEgrey60",0.6188,0.000123813935378384,TRUE
"MElightcyan",0.2175,0.224001364873033,FALSE
"MElightgreen",0.1545,0.390748596232123,FALSE
"MElightyellow",-0.325,0.0649529881433719,FALSE
"MEmagenta",0.5902,0.000299761837517458,TRUE
"MEmidnightblue",-0.373,0.0325339747561936,TRUE
"MEorange",0.4946,0.00343231263956409,TRUE
"MEpink",0.0706,0.696425196442064,FALSE
"MEpurple",-0.0354,0.844853712682676,FALSE
"MEred",-0.3226,0.0670891327001127,FALSE
"MEroyalblue",0.7469,5.98105163807951e-07,TRUE
"MEsalmon",-0.2726,0.124870207564187,FALSE
"MEskyblue",-0.4621,0.00677680110151514,TRUE
"MEtan",-0.0262,0.885055575933944,FALSE
"MEturquoise",-0.0284,0.875165998026857,FALSE
"MEwhite",-0.3281,0.062304777149197,FALSE
"MEyellow",0.7671,1.92160525745034e-07,TRUE
