"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.67226347786986,0.901,0.168,0,"0","ST18"
0,2.63676456198372,0.956,0.259,0,"0","RNF220"
0,2.47383046665744,0.863,0.239,0,"0","DOCK5"
0,2.54395662141994,0.787,0.191,0,"0","C10orf90"
0,2.51550096958985,0.735,0.149,0,"0","PLP1"
0,2.68935693492868,0.762,0.184,0,"0","TF"
0,2.34148429685332,0.833,0.263,0,"0","FRMD4B"
0,2.37741287896278,0.874,0.311,0,"0","CTNNA3"
0,2.5987403325247,0.665,0.133,0,"0","ENPP2"
0,2.74281115183378,0.636,0.115,0,"0","CNDP1"
0,2.64979528326979,0.682,0.163,0,"0","CERCAM"
0,2.07129985471438,0.822,0.323,0,"0","NCKAP5"
0,2.42055575318051,0.86,0.368,0,"0","MBP"
0,2.49103071549872,0.708,0.219,0,"0","PLEKHH1"
0,2.13707691478737,0.878,0.392,0,"0","PIP4K2A"
0,2.31866736481687,0.685,0.2,0,"0","CLMN"
0,2.513010225246,0.619,0.144,0,"0","TMEM144"
0,2.31432716538075,0.633,0.158,0,"0","BCAS1"
0,1.84793483949494,0.851,0.38,0,"0","DOCK10"
0,1.95511410135099,0.733,0.265,0,"0","DOCK1"
0,2.05725733983038,0.864,0.397,0,"0","PRUNE2"
0,1.56853123595655,0.789,0.325,0,"0","ZNF536"
0,2.34869502016981,0.917,0.459,0,"0","SLC44A1"
0,2.31433637846482,0.594,0.145,0,"0","LPAR1"
0,2.65662357192668,0.554,0.109,0,"0","MYRF"
0,1.90916029513647,0.853,0.426,0,"0","TMTC2"
0,1.96049197333741,0.767,0.345,0,"0","HIP1"
0,2.37788595291938,0.652,0.236,0,"0","GSN"
0,2.47516624160655,0.589,0.173,0,"0","CDK18"
0,2.02568495409111,0.906,0.493,0,"0","ELMO1"
0,2.1109576356799,0.93,0.522,0,"0","SLC24A2"
0,2.64851693074284,0.511,0.106,0,"0","FA2H"
0,1.5161940209072,0.776,0.372,0,"0","SPOCK3"
0,2.67522398230252,0.492,0.088,0,"0","CD22"
0,2.4454003542351,0.666,0.274,0,"0","POLR2F"
0,2.31161139226555,0.533,0.145,0,"0","FAM107B"
0,1.97277925650899,0.831,0.447,0,"0","PLCL1"
0,1.89100681037378,0.86,0.478,0,"0","PHLPP1"
0,1.84444098986024,0.937,0.557,0,"0","PDE4B"
0,2.08111559673873,0.628,0.249,0,"0","CREB5"
0,2.59035543316619,0.516,0.139,0,"0","CNTN2"
0,2.2008036517537,0.532,0.158,0,"0","KCNH8"
0,2.12939660017268,0.722,0.35,0,"0","PXK"
0,2.28891111521704,0.505,0.133,0,"0","SHROOM4"
0,2.21316455002262,0.591,0.221,0,"0","PHLDB1"
0,1.8259590881505,0.756,0.387,0,"0","SGK1"
0,2.46769860454677,0.499,0.131,0,"0","AC026316.5"
0,2.77795540335453,0.457,0.089,0,"0","MOG"
0,2.59634001309866,0.466,0.108,0,"0","MOBP"
0,2.47283933972336,0.465,0.107,0,"0","UGT8"
0,2.66650345456765,0.442,0.085,0,"0","HHIP"
0,2.3044485833626,0.499,0.145,0,"0","PLD1"
0,1.87584285899442,0.691,0.339,0,"0","CNTNAP4"
0,2.35770997005551,0.581,0.23,0,"0","QDPR"
0,1.61062858183689,0.782,0.432,0,"0","PTPRK"
0,2.54403219800626,0.431,0.086,0,"0","ABCA8"
0,1.86493247778814,0.757,0.413,0,"0","SLCO3A1"
0,1.7705238961543,0.756,0.418,0,"0","SHTN1"
0,2.04299694068879,0.763,0.427,0,"0","MAN2A1"
0,1.68837090090674,0.789,0.454,0,"0","EDIL3"
0,1.55313083822509,0.929,0.6,0,"0","QKI"
0,1.82689951904323,0.8,0.473,0,"0","ERBIN"
0,1.76651603807705,0.796,0.48,0,"0","PEX5L"
0,2.23440406798039,0.439,0.125,0,"0","DAAM2"
0,1.93633983370906,0.821,0.508,0,"0","TTLL7"
0,1.95198245022621,0.712,0.411,0,"0","KLHL32"
0,2.05310909684207,0.39,0.097,0,"0","CDH19"
0,1.74825092234673,0.815,0.522,0,"0","MAP7"
0,1.76940058676933,0.798,0.515,0,"0","UNC5C"
0,2.57144581995614,0.355,0.072,0,"0","LINC01608"
0,2.5218532001437,0.351,0.07,0,"0","FOLH1"
0,2.48232199760969,0.355,0.082,0,"0","ANLN"
0,2.6222425816035,0.355,0.084,0,"0","SLC5A11"
0,2.43493786611447,0.349,0.081,0,"0","CARNS1"
0,1.77296646856954,0.755,0.489,0,"0","FRYL"
0,1.81327111843575,0.778,0.516,0,"0","TRIM2"
0,1.48197619478815,0.82,0.558,0,"0","TCF12"
0,1.54007355982829,0.976,0.717,0,"0","IL1RAPL1"
0,1.36942287838491,0.95,0.692,0,"0","FRMD5"
0,2.55542144460793,0.323,0.066,0,"0","SLCO1A2"
0,1.40188857738807,0.926,0.701,0,"0","AGAP1"
0,1.62032486079506,0.938,0.737,0,"0","SIK3"
0,1.24319155030239,0.863,0.663,0,"0","DNM3"
0,1.60884660212472,0.887,0.697,0,"0","FMNL2"
0,1.12881983106427,0.981,0.836,0,"0","PCDH9"
4.67403590889682e-316,2.37304472847762,0.4,0.112,1.56757816312582e-311,"0","PIEZO2"
1.19510793420827e-304,1.71693778625047,0.737,0.507,4.00815298974768e-300,"0","SEPT7"
1.26602058793522e-304,1.53783126036768,0.725,0.415,4.24597984781715e-300,"0","DPYD"
4.64851705220948e-300,2.72739768370018,0.288,0.06,1.55901964897001e-295,"0","HPN-AS1"
1.63490489053222e-298,1.85247626502863,0.648,0.34,5.48314402186695e-294,"0","USP54"
4.97531220295083e-298,1.56538073483565,0.737,0.47,1.66862020662565e-293,"0","APBB2"
2.44359687091597e-296,2.33597420115977,0.482,0.181,8.19533518567797e-292,"0","ABCA2"
3.62335484501366e-294,2.46093554655659,0.327,0.079,1.21520074792068e-289,"0","LINC00639"
2.00689267499345e-293,1.93512859603323,0.655,0.372,6.73071665339305e-289,"0","SLAIN1"
