"Astrocyte","Endothelial","Macrophage","Microglia","Neuron","Oligodendrocyte","OPC","T_NK","sample","group","total_nuclei"
229,18,0,162,1330,271,259,4,"GSM6376803_TBI_HuBrainCTL_Nuclei501F_F","Sham",2273
114,10,0,47,643,48,188,4,"GSM6376804_TBI_HuBrainCTL_Nuclei501T_T","Sham",1054
521,9,0,110,796,543,169,2,"GSM6376805_TBI_HuBrainCTL_Nuclei529F_F","Sham",2150
406,41,0,61,1137,180,82,4,"GSM6376806_TBI_HuBrainCTL_Nuclei529T_T","Sham",1911
265,17,0,65,1046,432,131,5,"GSM6376807_TBI_HuBrainCTL_Nuclei502T_T","Sham",1961
69,8,0,6,1050,15,45,0,"GSM6376811_MJ_TBI_nr6_RT","TBI",1193
51,10,0,2,782,23,66,1,"GSM6376812_MJ_TBI_nr7_LT","TBI",935
26,7,0,7,297,44,20,0,"GSM6376813_MJ_TBI_nr8_RT","TBI",401
16,29,0,72,471,86,35,10,"GSM6376814_MJ_TBI_nr10_LT","TBI",719
151,13,0,45,105,143,135,54,"GSM6376815_MJ_TBI_nr11_LFP","TBI",646
18,9,0,62,142,509,57,29,"GSM6376816_MJ_TBI_nr16_RT","TBI",826
2,3,0,57,519,197,72,1,"GSM6376817_MJ_TBI_nr19_RF","TBI",851
60,11,0,189,651,73,47,13,"GSM6376818_MJ_TBI_nr20_RF","TBI",1044
109,15,0,78,484,274,112,5,"GSM6376819_MJ_TBI_nr21_RF","TBI",1077
28,3,0,36,242,23,15,1,"GSM6376820_MJ_TBI_nr1_LT","TBI",348
20,4,0,179,45,1343,31,22,"GSM6376821_MJ_TBI_nr2_LF","TBI",1644
83,9,100,220,1388,1460,88,10,"GSM6376822_MJ_TBI_nr3_RF","TBI",3358
