method_a,method_b,celltype,pearson_r,n
MuSiC_8ct,CIBERSORTx_Job7,Neuron,0.954999498874325,376
MuSiC_8ct,CIBERSORTx_Job7,Oligodendrocyte,0.945897840413607,376
MuSiC_8ct,CIBERSORTx_Job7,OPC,0.297926934074557,376
MuSiC_8ct,CIBERSORTx_Job7,Microglia,0.229673681551404,376
MuSiC_8ct,CIBERSORTx_Job7,Astrocyte,0.298157430586815,376
MuSiC_8ct,CIBERSORTx_Job7,Endothelial,0.439585146833635,376
MuSiC_8ct,CIBERSORTx_Job7,T_NK,0.0878564891814932,376
MuSiC_8ct,BisqueRNA_8ct,Neuron,0.919819455639925,376
MuSiC_8ct,BisqueRNA_8ct,Oligodendrocyte,0.93609992026751,376
MuSiC_8ct,BisqueRNA_8ct,OPC,-0.00798714736283891,376
MuSiC_8ct,BisqueRNA_8ct,Microglia,0.211229906910718,376
MuSiC_8ct,BisqueRNA_8ct,Astrocyte,0.345112903257583,376
MuSiC_8ct,BisqueRNA_8ct,Endothelial,-0.0633289491901526,376
MuSiC_8ct,BisqueRNA_8ct,T_NK,0.0608534075316342,376
BisqueRNA_8ct,CIBERSORTx_Job7,Astrocyte,0.765425847392607,376
BisqueRNA_8ct,CIBERSORTx_Job7,Endothelial,0.215174266005615,376
BisqueRNA_8ct,CIBERSORTx_Job7,Macrophage,-0.0247263709382791,376
BisqueRNA_8ct,CIBERSORTx_Job7,Microglia,0.356489174940567,376
BisqueRNA_8ct,CIBERSORTx_Job7,Neuron,0.946766860646957,376
BisqueRNA_8ct,CIBERSORTx_Job7,Oligodendrocyte,0.952731008948131,376
BisqueRNA_8ct,CIBERSORTx_Job7,OPC,0.0382571066637292,376
BisqueRNA_8ct,CIBERSORTx_Job7,T_NK,0.254465339996712,376
