threshold,path,genes_after_filter,DEGs,candidates,candidate_genes
0,CLEAN,10717,384,12,"Ccr5,Crabp2,Cyp1b1,Esr1,Hsd11b1,Lst1,Mmp2,Nfe2l2,Npy2r,P2ry6,Pgf,Ripk1"
0,FULL,10717,276,7,"Ccr5,Cyp1b1,Hsd11b1,Mmp2,P2ry6,Pgf,Ripk1"
0.05,CLEAN,5043,198,7,"Ccr5,Hsd11b1,Lst1,Mmp2,Npy2r,P2ry6,Ripk1"
0.05,FULL,5240,156,6,"Ccr5,Cyp1b1,Hsd11b1,Mmp2,P2ry6,Ripk1"
0.1,CLEAN,5043,198,7,"Ccr5,Hsd11b1,Lst1,Mmp2,Npy2r,P2ry6,Ripk1"
0.1,FULL,5033,137,5,"Cyp1b1,Hsd11b1,Mmp2,P2ry6,Ripk1"
0.15,CLEAN,4827,176,5,"Hsd11b1,Lst1,Mmp2,Npy2r,P2ry6"
0.15,FULL,5033,137,5,"Cyp1b1,Hsd11b1,Mmp2,P2ry6,Ripk1"
0.2,CLEAN,4827,176,5,"Hsd11b1,Lst1,Mmp2,Npy2r,P2ry6"
0.2,FULL,4893,129,4,"Hsd11b1,Mmp2,P2ry6,Ripk1"
0.3,CLEAN,4694,170,5,"Hsd11b1,Lst1,Mmp2,Npy2r,P2ry6"
0.3,FULL,4791,120,3,"Hsd11b1,Mmp2,P2ry6"
0.5,CLEAN,4496,151,4,"Hsd11b1,Lst1,Npy2r,P2ry6"
0.5,FULL,4534,105,2,"Hsd11b1,P2ry6"
