ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,n_genes
BP,GO:0043525,positive regulation of neuron apoptotic process,4/11,107/25730,0.037383177570093455,87.44265080713677,18.530440086292202,9.120495544841945e-8,6.70356422545883e-5,2.678545533695687e-5,Ccr5/Mmp2/Nqo2/Ripk1,4,4
BP,GO:1904707,positive regulation of vascular associated smooth muscle cell proliferation,3/11,48/25730,0.0625,146.1931818181818,20.82251469988064,9.948376748090603e-7,3.6560284549232966e-4,1.4608405856406727e-4,Mmp2/Nqo2/P2ry6,3,3
BP,GO:1904705,regulation of vascular associated smooth muscle cell proliferation,3/11,81/25730,0.037037037037037035,86.63299663299664,15.963539435356365,4.869803383903798e-6,9.200105506043799e-4,3.676089418096985e-4,Mmp2/Nqo2/P2ry6,3,3
BP,GO:1990874,vascular associated smooth muscle cell proliferation,3/11,85/25730,0.03529411764705882,82.55614973262033,15.575628586643031,5.632224358057174e-6,9.200105506043799e-4,3.676089418096985e-4,Mmp2/Nqo2/P2ry6,3,3
BP,GO:0019229,regulation of vasoconstriction,3/11,94/25730,0.031914893617021274,74.65183752417794,14.79459696597314,7.627625871288243e-6,9.200105506043799e-4,3.676089418096985e-4,Chrm3/Mmp2/Npy1r,3,3
BP,GO:0043523,regulation of neuron apoptotic process,4/11,336/25730,0.011904761904761904,27.846320346320343,10.244000855169904,8.76839291386757e-6,9.200105506043799e-4,3.676089418096985e-4,Ccr5/Mmp2/Nqo2/Ripk1,4,4
BP,GO:0042310,vasoconstriction,3/11,117/25730,0.02564102564102564,59.976689976689975,13.222813040030644,1.4723088817572e-5,9.200105506043799e-4,3.676089418096985e-4,Chrm3/Mmp2/Npy1r,3,3
BP,GO:0006939,smooth muscle contraction,3/11,119/25730,0.025210084033613446,58.96867838044309,13.10793769851149,1.5490631324732654e-5,9.200105506043799e-4,3.676089418096985e-4,Chrm3/Npy1r/Npy2r,3,3
BP,GO:0051402,neuron apoptotic process,4/11,395/25730,0.010126582278481013,23.686996547756042,9.397143423351938,1.657646209123676e-5,9.200105506043799e-4,3.676089418096985e-4,Ccr5/Mmp2/Nqo2/Ripk1,4,4
BP,GO:0032760,positive regulation of tumor necrosis factor production,3/11,122/25730,0.02459016393442623,57.518628912071534,12.940899347693218,1.669076694152638e-5,9.200105506043799e-4,3.676089418096985e-4,Adam17/Ccr5/Ripk1,3,3
BP,GO:0048661,positive regulation of smooth muscle cell proliferation,3/11,123/25730,0.024390243902439025,57.0509977827051,12.886569188546861,1.71040388672827e-5,9.200105506043799e-4,3.676089418096985e-4,Mmp2/Nqo2/P2ry6,3,3
BP,GO:1903557,positive regulation of tumor necrosis factor superfamily cytokine production,3/11,124/25730,0.024193548387096774,56.59090909090909,12.83289098775996,1.7524010487702473e-5,9.200105506043799e-4,3.676089418096985e-4,Adam17/Ccr5/Ripk1,3,3
BP,GO:0071887,leukocyte apoptotic process,3/11,153/25730,0.0196078431372549,45.864527629233514,11.510780436620776,3.284846613921497e-5,0.0016095748408215336,6.431383896730509e-4,Adam17/Ccr5/Ripk1,3,3
BP,GO:0032640,tumor necrosis factor production,3/11,202/25730,0.01485148514851485,34.73897389738974,9.955886026727214,7.509372713851686e-5,0.0024025784252161564,9.599991129757358e-4,Adam17/Ccr5/Ripk1,3,3
BP,GO:0032680,regulation of tumor necrosis factor production,3/11,202/25730,0.01485148514851485,34.73897389738974,9.955886026727214,7.509372713851686e-5,0.0024025784252161564,9.599991129757358e-4,Adam17/Ccr5/Ripk1,3,3
BP,GO:0048660,regulation of smooth muscle cell proliferation,3/11,202/25730,0.01485148514851485,34.73897389738974,9.955886026727214,7.509372713851686e-5,0.0024025784252161564,9.599991129757358e-4,Mmp2/Nqo2/P2ry6,3,3
BP,GO:0035296,regulation of tube diameter,3/11,204/25730,0.014705882352941176,34.398395721925134,9.904443166147257,7.732155776157635e-5,0.0024025784252161564,9.599991129757358e-4,Chrm3/Mmp2/Npy1r,3,3
BP,GO:0097746,blood vessel diameter maintenance,3/11,204/25730,0.014705882352941176,34.398395721925134,9.904443166147257,7.732155776157635e-5,0.0024025784252161564,9.599991129757358e-4,Chrm3/Mmp2/Npy1r,3,3
BP,GO:0035150,regulation of tube size,3/11,205/25730,0.014634146341463415,34.23059866962306,9.878999817730268,7.845154041522143e-5,0.0024025784252161564,9.599991129757358e-4,Chrm3/Mmp2/Npy1r,3,3
BP,GO:0071706,tumor necrosis factor superfamily cytokine production,3/11,205/25730,0.014634146341463415,34.23059866962306,9.878999817730268,7.845154041522143e-5,0.0024025784252161564,9.599991129757358e-4,Adam17/Ccr5/Ripk1,3,3
BP,GO:1903555,regulation of tumor necrosis factor superfamily cytokine production,3/11,205/25730,0.014634146341463415,34.23059866962306,9.878999817730268,7.845154041522143e-5,0.0024025784252161564,9.599991129757358e-4,Adam17/Ccr5/Ripk1,3,3
BP,GO:0048659,smooth muscle cell proliferation,3/11,210/25730,0.014285714285714285,33.41558441558441,9.754475561953528,8.426403395348715e-5,0.002477362598232522,9.898806514957018e-4,Mmp2/Nqo2/P2ry6,3,3
BP,GO:0070374,positive regulation of ERK1 and ERK2 cascade,3/11,219/25730,0.0136986301369863,32.04234122042341,9.540992210743415,9.542431111956078e-5,0.0026975718720337375,0.001077869749083298,Adam17/Nqo2/P2ry6,3,3
BP,GO:0003018,vascular process in circulatory system,3/11,268/25730,0.011194029850746268,26.183853459972863,8.570853671892303,1.7331832540085762e-4,0.004109321586117108,0.0016419630827449669,Chrm3/Mmp2/Npy1r,3,3
BP,GO:1903522,regulation of blood circulation,3/11,286/25730,0.01048951048951049,24.53591862682772,8.277558025061973,2.099012428563326e-4,0.0048211691718563895,0.0019263962748985789,Chrm3/Mmp2/Npy1r,3,3
BP,GO:0033002,muscle cell proliferation,3/11,293/25730,0.010238907849829351,23.94973627055538,8.170701057164033,2.2538086510442176e-4,0.005019846540962121,0.002005781861694854,Mmp2/Nqo2/P2ry6,3,3
BP,GO:0070372,regulation of ERK1 and ERK2 cascade,3/11,322/25730,0.009316770186335404,21.79277244494636,7.764899748901649,2.9739463814627875e-4,0.005907704298311212,0.002360543500506736,Adam17/Nqo2/P2ry6,3,3
BP,GO:0006874,intracellular calcium ion homeostasis,3/11,333/25730,0.009009009009009009,21.07289107289107,7.624679481640999,3.281804873028481e-4,0.005999531076147882,0.0023972347586756304,Ccr5/Npy1r/P2ry6,3,3
BP,GO:0060326,cell chemotaxis,3/11,333/25730,0.009009009009009009,21.07289107289107,7.624679481640999,3.281804873028481e-4,0.005999531076147882,0.0023972347586756304,Adam17/Ccr5/Mmp2,3,3
BP,GO:0006936,muscle contraction,3/11,338/25730,0.008875739644970414,20.76116191500807,7.5631572277775,3.428303472084504e-4,0.005999531076147882,0.0023972347586756304,Chrm3/Npy1r/Npy2r,3,3
BP,GO:0070371,ERK1 and ERK2 cascade,3/11,354/25730,0.00847457627118644,19.82280431432974,7.374882957725274,3.925407492396087e-4,0.006310862518125058,0.002521633573300238,Adam17/Nqo2/P2ry6,3,3
BP,GO:0055074,calcium ion homeostasis,3/11,363/25730,0.008264462809917356,19.331329827197596,7.274338165751487,4.224447144649473e-4,0.006606316279398643,0.0026396881374181475,Ccr5/Npy1r/P2ry6,3,3
BP,GO:0019220,regulation of phosphate metabolic process,3/11,415/25730,0.007228915662650603,16.90909090909091,6.7571133285805365,6.242340448745434e-4,0.00918683639107818,0.0036707874731268346,Hsd11b1/P2ry6/Ripk1,3,3
BP,GO:0051174,regulation of phosphorus metabolic process,3/11,418/25730,0.007177033492822967,16.787733797303176,6.73016112701035,6.374539536666493e-4,0.00918683639107818,0.0036707874731268346,Hsd11b1/P2ry6/Ripk1,3,3
BP,GO:0062012,regulation of small molecule metabolic process,3/11,418/25730,0.007177033492822967,16.787733797303176,6.73016112701035,6.374539536666493e-4,0.00918683639107818,0.0036707874731268346,Hsd11b1/Npy1r/P2ry6,3,3
BP,GO:0003012,muscle system process,3/11,473/25730,0.006342494714587738,14.835671727849318,6.280882866962387,9.1255335802e-4,0.012195031238994545,0.00487277295478622,Chrm3/Npy1r/Npy2r,3,3
