receptor,box_index,center,size,seed,best_affinity_kcal_mol
AHR,0,130.58;144.98;138.42,24.00;24.00;24.00,42,-14.16
AHR,0,130.58;144.98;138.42,24.00;24.00;24.00,2026,-14.15
AHR,0,130.58;144.98;138.42,24.00;24.00;24.00,8888,-14.14
CYP1A2,0,2.49;17.83;20.15,24.00;24.00;24.00,42,-15.66
CYP1A2,0,2.49;17.83;20.15,24.00;24.00;24.00,2026,-15.66
CYP1A2,0,2.49;17.83;20.15,24.00;24.00;24.00,8888,-15.65
CYP1B1,0,-18.34;21.50;-19.82,24.00;24.00;24.00,42,-15.94
CYP1B1,0,-18.34;21.50;-19.82,24.00;24.00;24.00,2026,-15.94
CYP1B1,0,-18.34;21.50;-19.82,24.00;24.00;24.00,8888,-15.96
CRABP2,0,22.07;26.28;20.21,24.00;24.00;24.00,42,-9.655
CRABP2,0,22.07;26.28;20.21,24.00;24.00;24.00,2026,-9.685
CRABP2,0,22.07;26.28;20.21,24.00;24.00;24.00,8888,-9.653
ESR1,0,106.73;15.02;96.62,24.00;24.00;24.00,42,-10.91
ESR1,0,106.73;15.02;96.62,24.00;24.00;24.00,2026,-10.9
ESR1,0,106.73;15.02;96.62,24.00;24.00;24.00,8888,-10.88
HSD11B1,0,64.86;102.91;46.07,24.00;24.00;24.00,42,-10.23
HSD11B1,0,64.86;102.91;46.07,24.00;24.00;24.00,2026,-10.21
HSD11B1,0,64.86;102.91;46.07,24.00;24.00;24.00,8888,-10.25
MAOA,0,20.53;2.23;5.62,24.00;24.00;24.00,42,-11.53
MAOA,0,20.53;2.23;5.62,24.00;24.00;24.00,2026,-11.54
MAOA,0,20.53;2.23;5.62,24.00;24.00;24.00,8888,-11.54
NFE2L2,0,-34.15;-6.22;-51.43,30.00;30.00;30.00,42,0.0
NFE2L2,0,-34.15;-6.22;-51.43,30.00;30.00;30.00,2026,0.0
NFE2L2,0,-34.15;-6.22;-51.43,30.00;30.00;30.00,8888,0.0
