gene_symbol,tier,sources,human_ensembl,mouse_ensembl,mouse_symbol,orthology_type,perc_id,ensembl_release,orthology_class,n_mouse_orthologs,mapped,matrix_symbol,alias_note,in_matrix_CLEAN,in_matrix_FULL
A3F,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
ABCB1,C,ChEMBL,ENSG00000085563,ENSMUSG00000040584,Abcb1a,ortholog_one2many,87.5392,"116 (Ensembl Genes 116, ensembl_mart_116)",one2many,2,TRUE,Abcb1a,,FALSE,FALSE
ABCB1,C,ChEMBL,ENSG00000085563,ENSMUSG00000028970,Abcb1b,ortholog_one2many,80.7994,"116 (Ensembl Genes 116, ensembl_mart_116)",one2many,2,TRUE,Abcb1b,,FALSE,FALSE
ABCG2,C,SwissTargetPrediction,ENSG00000118777,ENSMUSG00000029299,Abcg3,ortholog_one2one,54.9231,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Abcg3,,FALSE,FALSE
ACAT1,C,SwissTargetPrediction,ENSG00000075239,ENSMUSG00000032047,Acat1,ortholog_one2one,84.6698,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Acat1,,FALSE,FALSE
ACHE,C,ChEMBL;SwissTargetPrediction,ENSG00000087085,ENSMUSG00000023328,Ache,ortholog_one2one,88.4365,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Ache,,TRUE,TRUE
ADAM17,C,PharmMapper,ENSG00000151694,ENSMUSG00000052593,Adam17,ortholog_one2one,91.7775,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Adam17,,TRUE,TRUE
ADORA1,C,ChEMBL;SwissTargetPrediction,ENSG00000163485,ENSMUSG00000042429,Adora1,ortholog_one2one,94.7853,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Adora1,,TRUE,TRUE
ADORA2,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
ADORA2A,C,ChEMBL;SwissTargetPrediction,ENSG00000128271,ENSMUSG00000020178,Adora2a,ortholog_one2one,81.4634,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Adora2a,,FALSE,FALSE
ADORA3,C,ChEMBL;SwissTargetPrediction,ENSG00000282608,ENSMUSG00000000562,Adora3,ortholog_one2one,73.3542,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Adora3,,FALSE,FALSE
ADRA1A,C,ChEMBL,ENSG00000120907,ENSMUSG00000045875,Adra1a,ortholog_one2one,91.4163,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Adra1a,,FALSE,FALSE
ADRA1D,C,ChEMBL,ENSG00000171873,ENSMUSG00000027335,Adra1d,ortholog_one2one,86.6548,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Adra1d,,FALSE,FALSE
ADRA2A,C,ChEMBL;SwissTargetPrediction,ENSG00000150594,ENSMUSG00000033717,Adra2a,ortholog_one2one,92.4731,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Adra2a,,TRUE,TRUE
ADRA2B,C,ChEMBL,ENSG00000274286,ENSMUSG00000058620,Adra2b,ortholog_one2one,83.0357,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Adra2b,,FALSE,FALSE
ADRA2C,C,ChEMBL;SwissTargetPrediction,ENSG00000184160,ENSMUSG00000045318,Adra2c,ortholog_one2one,93.8865,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Adra2c,,TRUE,TRUE
ADRA2L1,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
ADRA2L2,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
ADRA2R,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
ADRA2RL1,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
ADRA2RL2,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
ADRAR,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
ADRB1,C,ChEMBL,ENSG00000043591,ENSMUSG00000035283,Adrb1,ortholog_one2one,92.0601,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Adrb1,,FALSE,FALSE
ADRB1R,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
ADRB2,C,ChEMBL,ENSG00000169252,ENSMUSG00000045730,Adrb2,ortholog_one2one,87.0813,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Adrb2,,FALSE,FALSE
